zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,estimated_population_2014,
20191,STANDARD,0,Reston,Herndon,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.95,-77.34,27900,
20192,UNIQUE,0,Herndon,Reston,Hundon -  U S Geological Survey,VA,Fairfax County,America/New_York,571,NA,US,38.96,-77.38,0,
20193,UNIQUE,1,Reston,Herndon -  Hundon -  Sallie Mae,,VA,Fairfax County,America/New_York,571,NA,US,38.93,-77.34,0,
20194,STANDARD,0,Reston,Herndon,,VA,Fairfax County,America/New_York,"703,571",NA,US,38.95,-77.34,12700,
20195,PO BOX,0,Reston,Herndon,,VA,Fairfax County,America/New_York,571,NA,US,38.95,-77.34,525,
20196,UNIQUE,0,Reston,Herndon,Hundon -  Sprint,VA,Fairfax County,America/New_York,571,NA,US,38.95,-77.34,0,
20197,STANDARD,0,Waterford,,,VA,Loudoun County,America/New_York,"571,703",NA,US,39.18,-77.61,2000,
20198,STANDARD,0,The Plains,,,VA,Fauquier County,America/New_York,540,NA,US,38.86,-77.77,1820,
20199,UNIQUE,1,Dulles,Visa Lottery State Dept,,VA,Loudoun County,America/New_York,571,NA,US,39,-77.45,0,
20598,UNIQUE,0,Dhs,Alexandria -  Arlington -  Fairfax -  Falls Church -  Herndon -  Lorton -  Mc Lean -  Mclean -  Reston -  Springfield -  Sterling,Dept Hs,VA,Fairfax County,America/New_York,571,NA,US,38.86,-77.05,0,
22003,STANDARD,0,Annandale,,,VA,Fairfax County,America/New_York,703,NA,US,38.83,-77.21,54100,
22009,PO BOX,0,Burke,Springfield,,VA,Fairfax County,America/New_York,571,NA,US,38.78,-77.27,305,
22015,STANDARD,0,Burke,Springfield,,VA,Fairfax County,America/New_York,703,NA,US,38.78,-77.27,43230,
22025,STANDARD,0,Dumfries,Montclair,,VA,Prince William County,America/New_York,"571,703",NA,US,38.6,-77.34,17350,
22026,STANDARD,0,Dumfries,Southbridge,,VA,Prince William County,America/New_York,571,NA,US,38.56,-77.32,16180,
22027,STANDARD,0,Dunn Loring,Vienna,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.89,-77.23,2120,
22030,STANDARD,0,Fairfax,,,VA,Fairfax County,America/New_York,571,NA,US,38.85,-77.29,48120,
22031,STANDARD,0,Fairfax,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.85,-77.29,29860,
22032,STANDARD,0,Fairfax,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.85,-77.29,29080,
22033,STANDARD,0,Fairfax,,,VA,Fairfax County,America/New_York,703,NA,US,38.85,-77.29,36980,
22034,STANDARD,0,Fairfax,,Journal Newspaper,VA,Fairfax City,America/New_York,571,NA,US,38.85,-77.29,0,
22035,STANDARD,0,Fairfax,,Fairfax County Government,VA,Fairfax City,America/New_York,571,NA,US,38.85,-77.29,0,
22036,STANDARD,0,Fairfax,,Journal Newspaper,VA,Fairfax City,America/New_York,"571,703",NA,US,38.85,-77.29,0,
22037,UNIQUE,0,Fairfax,,Mobil Oil Corp,VA,Fairfax City,America/New_York,571,NA,US,38.85,-77.29,67,
22038,PO BOX,0,Fairfax,,,VA,Fairfax City,America/New_York,571,NA,US,38.85,-77.29,415,
22039,STANDARD,0,Fairfax Station,Fairfax Sta -  Fx Station,Fairfax,VA,Fairfax County,America/New_York,571,NA,US,38.8,-77.32,18610,
22040,PO BOX,0,Falls Church,,,VA,Falls Church City,America/New_York,571,NA,US,38.88,-77.17,382,
22041,STANDARD,0,Falls Church,Baileys Crossroads -  Baileys Xrds,,VA,Fairfax County,America/New_York,703,NA,US,38.88,-77.17,24900,
22042,STANDARD,0,Falls Church,Mosby,,VA,Fairfax County,America/New_York,571,NA,US,38.88,-77.17,31460,
22043,STANDARD,0,Falls Church,Pimmit,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.88,-77.17,23120,
22044,STANDARD,0,Falls Church,Seven Corners,7 Corners,VA,Fairfax County,America/New_York,571,NA,US,38.88,-77.17,11960,
22046,STANDARD,0,Falls Church,,,VA,Falls Church City,America/New_York,"571,703",NA,US,38.88,-77.17,16640,
22047,UNIQUE,1,Falls Church,,Aaa,VA,Falls Church City,America/New_York,571,NA,US,38.86,-77.22,0,
22060,STANDARD,0,Fort Belvoir,Ft Belvoir,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.7,-77.14,9940,
22066,STANDARD,0,Great Falls,,,VA,Fairfax County,America/New_York,703,NA,US,39.01,-77.28,18130,
22067,STANDARD,0,Greenway,Mc Lean,,VA,Fairfax County,America/New_York,703,NA,US,38.93,-77.16,0,
22079,STANDARD,0,Lorton,Mason Neck,,VA,Fairfax County,America/New_York,"703,571",NA,US,38.7,-77.24,32750,
22081,STANDARD,0,Merrifield,,Northern Virginia -  Northern Virginia Facility,VA,Fairfax County,America/New_York,"571,703",NA,US,38.87,-77.24,0,
22082,UNIQUE,0,Merrifield,,Engineering Support Center,VA,Fairfax County,America/New_York,571,NA,US,38.87,-77.24,0,
22092,UNIQUE,1,Herndon,,U S Geological Survey,VA,Fairfax County,America/New_York,571,NA,US,38.96,-77.38,0,
22093,UNIQUE,1,Ashburn,Natl Assn Letter Carriers,,VA,Loudoun County,America/New_York,571,NA,US,39.04,-77.48,0,
22095,UNIQUE,0,Herndon,Reston,Business Reply Mail,VA,Fairfax County,America/New_York,571,NA,US,38.96,-77.38,0,
22096,UNIQUE,0,Reston,Herndon,Sprint,VA,Fairfax County,America/New_York,571,NA,US,38.95,-77.34,0,
22101,STANDARD,0,Mc Lean,Mclean,Maclean,VA,Fairfax County,America/New_York,"571,703",NA,US,38.94,-77.19,29110,
22102,STANDARD,0,Mc Lean,Mclean -  Tysons -  Tysons Corner -  West Mclean,Maclean,VA,Fairfax County,America/New_York,"703,571",NA,US,38.94,-77.19,21710,
22103,PO BOX,0,West Mclean,Mc Lean -  Mclean,Maclean,VA,Fairfax County,America/New_York,571,NA,US,38.93,-77.16,170,
22106,PO BOX,0,Mc Lean,Mclean,,VA,Fairfax County,America/New_York,571,NA,US,38.94,-77.19,265,
22107,UNIQUE,0,Mc Lean,,Gannett,VA,Fairfax County,America/New_York,571,NA,US,38.93,-77.18,0,
22108,UNIQUE,0,Mc Lean,,Usa Today,VA,Fairfax County,America/New_York,571,NA,US,38.93,-77.18,0,
22109,UNIQUE,0,Mc Lean,,Richmond -  Wachovia Bank,VA,Fairfax County,America/New_York,571,NA,US,38.94,-77.19,0,
22116,PO BOX,0,Merrifield,,,VA,Fairfax County,America/New_York,571,NA,US,38.87,-77.24,624,
22118,UNIQUE,0,Merrifield,,Bank Of America -  Richmond,VA,Fairfax County,America/New_York,571,NA,US,38.87,-77.24,0,
22119,UNIQUE,0,Merrifield,,Navy Federal Credit Union,VA,Fairfax County,America/New_York,571,NA,US,38.87,-77.24,0,
22120,UNIQUE,1,Merrifield,Continental Telephone,,VA,Fairfax County,America/New_York,571,NA,US,38.87,-77.22,0,
22121,PO BOX,0,Mount Vernon,,,VA,Fairfax County,America/New_York,571,NA,US,38.71,-77.1,74,
22122,PO BOX,0,Newington,,,VA,Fairfax County,America/New_York,571,NA,US,38.73,-77.2,112,
22124,STANDARD,0,Oakton,Vienna,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.89,-77.3,17850,
22125,PO BOX,0,Occoquan,,,VA,Prince William County,America/New_York,571,NA,US,38.68,-77.26,654,
22134,STANDARD,0,Quantico,,Mcb Quantico -  Quantico Naval Hospital,VA,Prince William County,America/New_York,571,NA,US,38.52,-77.29,5190,
22135,UNIQUE,0,Quantico,Fbi Acad,Fbi Academy,VA,Prince William County,America/New_York,571,NA,US,38.52,-77.29,0,
22150,STANDARD,0,Springfield,,,VA,Fairfax County,America/New_York,703,NA,US,38.78,-77.17,27440,
22151,STANDARD,0,Springfield,N Springfield -  North Springfield,N Springfld,VA,Fairfax County,America/New_York,703,NA,US,38.78,-77.17,17640,
22152,STANDARD,0,Springfield,W Springfield -  West Springfield,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.78,-77.17,28870,
22153,STANDARD,0,Springfield,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.78,-77.17,32460,
22156,UNIQUE,0,Springfield,,Firm Zip,VA,Fairfax County,America/New_York,571,NA,US,38.78,-77.17,0,
22158,UNIQUE,0,Springfield,,Army Times -  Brm-firm Zip,VA,Fairfax County,America/New_York,571,NA,US,38.78,-77.17,0,
22159,UNIQUE,0,Springfield,,Army Times -  Firm Zip,VA,Fairfax County,America/New_York,571,NA,US,38.78,-77.17,0,
22160,UNIQUE,0,Springfield,,National Right To Work Comm,VA,Fairfax County,America/New_York,571,NA,US,38.78,-77.17,0,
22161,UNIQUE,0,Springfield,,Dept Of Commerce,VA,Fairfax County,America/New_York,571,NA,US,38.78,-77.17,0,
22172,STANDARD,0,Triangle,,,VA,Prince William County,America/New_York,"571,703",NA,US,38.54,-77.31,9380,
22180,STANDARD,0,Vienna,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.9,-77.26,24130,
22181,STANDARD,0,Vienna,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.9,-77.26,14660,
22182,STANDARD,0,Vienna,Tysons -  Tysons Corner,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.9,-77.26,25300,
22183,PO BOX,0,Vienna,,,VA,Fairfax County,America/New_York,571,NA,US,38.9,-77.26,258,
22184,UNIQUE,1,Vienna,,National Wildlife Assoc,VA,Fairfax County,America/New_York,571,NA,US,38.9,-77.26,0,
22185,UNIQUE,0,Vienna,Oakton,A T & T -  At&t,VA,Fairfax County,America/New_York,571,NA,US,38.9,-77.26,0,
22191,STANDARD,0,Woodbridge,,Wdbg,VA,Prince William County,America/New_York,"571,703",NA,US,38.63,-77.26,66950,
22192,STANDARD,0,Woodbridge,Lake Ridge -  Prince William -  Prince Wm,,VA,Prince William County,America/New_York,"571,703",NA,US,38.63,-77.26,56140,
22193,STANDARD,0,Woodbridge,Dale City,Dalecity,VA,Prince William County,America/New_York,"571,703",NA,US,38.63,-77.26,78420,
22194,PO BOX,0,Woodbridge,,,VA,Prince William County,America/New_York,571,NA,US,38.63,-77.26,666,
22195,PO BOX,0,Woodbridge,,,VA,Prince William County,America/New_York,571,NA,US,38.63,-77.26,1056,
22199,PO BOX,0,Lorton,,,VA,Fairfax County,America/New_York,571,NA,US,38.7,-77.24,474,
22201,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.1,31030,
22202,STANDARD,0,Arlington,,Crystal City,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.1,18620,
22203,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.1,19410,
22204,STANDARD,0,Arlington,,South,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.1,46620,
22205,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"703,571",NA,US,38.87,-77.1,17380,
22206,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,703,NA,US,38.87,-77.1,19370,
22207,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"703,571",NA,US,38.87,-77.1,31290,
22209,STANDARD,0,Arlington,Rosslyn,,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.1,10700,
22210,PO BOX,0,Arlington,,,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,264,
22211,STANDARD,0,Fort Myer,Ft Myer,Arlington,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.07,670,
22212,UNIQUE,0,Arlington,,Navy Mutual Aid Assoc,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22213,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.1,3300,
22214,STANDARD,0,Arlington,,,VA,Arlington County,America/New_York,"571,703",NA,US,38.87,-77.1,133,
22215,PO BOX,0,Arlington,,,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,201,
22216,PO BOX,0,Arlington,,,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,181,
22217,UNIQUE,0,Arlington,,Office Of Naval Research,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22218,UNIQUE,1,Arlington,Visa Lottery,,VA,Arlington County,America/New_York,571,NA,US,38.88,-77.09,0,
22219,PO BOX,0,Arlington,,,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,257,
22222,UNIQUE,0,Arlington,,Marine Corps Institute,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22223,UNIQUE,1,Arlington,,Marine Corps Institute -  Business Reply Mail,VA,Arlington County,America/New_York,571,NA,US,38.88,-77.09,0,
22225,UNIQUE,0,Arlington,,Dept Of The Navy,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22226,UNIQUE,0,Arlington,,Fdic,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22227,UNIQUE,0,Arlington,,U S Air,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22229,UNIQUE,1,Arlington,Shared Firm Zip,,VA,Arlington County,America/New_York,571,NA,US,38.89,-77.07,0,
22230,UNIQUE,0,Arlington,,National Science Foundation,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22234,UNIQUE,1,Arlington,Gannett,,VA,Arlington County,America/New_York,571,NA,US,38.89,-77.07,0,
22240,UNIQUE,0,Arlington,,Us Navy Accounting Office,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22241,UNIQUE,0,Arlington,,Naval Supply System Command,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22242,UNIQUE,0,Arlington,,Navy Sea Systems Command,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22243,UNIQUE,0,Arlington,,Naval Air System Command,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22244,UNIQUE,0,Arlington,,Assistant Secretary Of Navy,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22245,UNIQUE,0,Arlington,,Space & Naval Warfare System,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22246,UNIQUE,0,Arlington,,Us Unmanned Aerial Vehicles,VA,Arlington County,America/New_York,571,NA,US,38.87,-77.1,0,
22301,STANDARD,0,Alexandria,Potomac,,VA,Alexandria City,America/New_York,"571,703",NA,US,38.82,-77.08,11820,
22302,STANDARD,0,Alexandria,,,VA,Alexandria City,America/New_York,"571,703",NA,US,38.82,-77.08,16180,
22303,STANDARD,0,Alexandria,Jefferson Manor -  Jefferson Mnr,,VA,Fairfax County,America/New_York,703,NA,US,38.82,-77.08,13950,
22304,STANDARD,0,Alexandria,,Cameron Station -  Theological Seminary -  Trade Center,VA,Alexandria City,America/New_York,"571,703",NA,US,38.82,-77.08,42300,
22305,STANDARD,0,Alexandria,,George Washington,VA,Alexandria City,America/New_York,"571,703",NA,US,38.82,-77.08,14810,
22306,STANDARD,0,Alexandria,Community,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.82,-77.08,32030,
22307,STANDARD,0,Alexandria,Belleview,,VA,Fairfax County,America/New_York,703,NA,US,38.82,-77.08,9910,
22308,STANDARD,0,Alexandria,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.82,-77.08,13550,
22309,STANDARD,0,Alexandria,Engleside,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.82,-77.08,32090,
22310,STANDARD,0,Alexandria,Franconia,,VA,Fairfax County,America/New_York,703,NA,US,38.82,-77.08,28350,
22311,STANDARD,0,Alexandria,,,VA,Alexandria City,America/New_York,"571,703",NA,US,38.82,-77.08,17130,
22312,STANDARD,0,Alexandria,,,VA,Fairfax County,America/New_York,703,NA,US,38.82,-77.08,29050,
22313,PO BOX,0,Alexandria,,,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,457,
22314,STANDARD,0,Alexandria,,,VA,Alexandria City,America/New_York,"571,703",NA,US,38.82,-77.08,29100,
22315,STANDARD,0,Alexandria,Kingstowne,Franconia,VA,Fairfax County,America/New_York,703,NA,US,38.82,-77.08,27200,
22320,PO BOX,0,Alexandria,,George Mason,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,184,
22321,UNIQUE,1,Alexandria,Firm Zip,,VA,Alexandria City,America/New_York,571,NA,US,38.8,-77.05,0,
22331,STANDARD,0,Alexandria,,,VA,Alexandria City,America/New_York,703,NA,US,38.82,-77.08,0,
22332,STANDARD,0,Alexandria,,,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,0,
22333,UNIQUE,0,Alexandria,,Us Army Mat Com,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,0,
22334,UNIQUE,0,Alexandria,,Sun Trust Bank,VA,Alexandria City,America/New_York,571,NA,US,38.82,-77.08,0,
22336,UNIQUE,1,Alexandria,,Woodward & Lothrop,VA,Alexandria City,America/New_York,571,NA,US,38.8,-77.04,0,
22350,UNIQUE,0,Alexandria,,Dept Of Defense -  Dod,VA,,,571,NA,US,48.31,-2.12,0,
22401,STANDARD,0,Fredericksburg,Fredericksbrg,Enon -  Fred,VA,Fredericksburg City,America/New_York,540,NA,US,38.29,-77.48,21330,
22402,PO BOX,0,Fredericksburg,Fredericksbrg,Fred,VA,Fredericksburg City,America/New_York,540,NA,US,38.29,-77.48,552,
22403,PO BOX,0,Fredericksburg,Falmouth -  Fredericksbrg,Fred,VA,Fredericksburg City,America/New_York,540,NA,US,38.29,-77.48,620,
22404,PO BOX,0,Fredericksburg,Fredericksbrg,Fred,VA,Fredericksburg City,America/New_York,540,NA,US,38.29,-77.48,1119,
22405,STANDARD,0,Fredericksburg,Falmouth -  Fredericksbrg,Fred -  Fredericksbg,VA,Stafford County,America/New_York,540,NA,US,38.29,-77.48,29510,
22406,STANDARD,0,Fredericksburg,Falmouth -  Fredericksbrg,Fred -  Fredbg -  Frederickbg -  Frederickbur -  Fredericksbg -  Fredericksbur,VA,Stafford County,America/New_York,540,NA,US,38.29,-77.48,22550,
22407,STANDARD,0,Fredericksburg,Fredericksbrg,Fred -  Fredbg -  Frederickbg -  Frederickbur -  Fredericksbg -  Fredericksbur,VA,Spotsylvania County,America/New_York,540,NA,US,38.29,-77.48,55360,
22408,STANDARD,0,Fredericksburg,Fredericksbrg,Fred -  Fredbg -  Frederickbg -  Frederickbur -  Fredericksbg -  Fredericksbur,VA,Spotsylvania County,America/New_York,540,NA,US,38.29,-77.48,27510,
22412,UNIQUE,0,Fredericksburg,Falmouth -  Fredericksbrg,Geico Insurance,VA,Fredericksburg City,America/New_York,540,NA,US,38.29,-77.48,0,
22427,STANDARD,0,Bowling Green,Fort A P Hill,Bowling Grn -  Ft Ap Hill,VA,Caroline County,America/New_York,804,NA,US,38.04,-77.35,2910,
22428,UNIQUE,0,Bowling Green,,Boy Scouts Of America,VA,Caroline County,America/New_York,804,NA,US,38.04,-77.35,0,
22430,PO BOX,0,Brooke,,,VA,Stafford County,America/New_York,540,NA,US,38.37,-77.34,71,
